No.,Time,Source,Destination,Protocol,,,
74,10.802097,50.7.252.138,192.168.2.21,UDP,,,
75,15.612684,192.168.2.21,103.195.103.66,UDP,,,
76,15.612703,192.168.2.21,103.195.103.66,UDP,,,
77,15.612706,192.168.2.21,103.195.103.66,UDP,,,
78,15.612707,192.168.2.21,185.180.13.82,UDP,,,
79,15.61271,192.168.2.21,185.180.13.82,UDP,,,
80,15.612712,192.168.2.21,185.180.13.82,UDP,,,
81,15.612714,192.168.2.21,50.7.252.138,UDP,,,
82,15.612715,192.168.2.21,50.7.252.138,UDP,,,
83,15.612717,192.168.2.21,50.7.252.138,UDP,,,
84,15.612718,192.168.2.21,195.181.173.159,UDP,,,
85,15.612721,192.168.2.21,195.181.173.159,UDP,,,
86,15.612722,192.168.2.21,195.181.173.159,UDP,,,
87,15.652469,195.181.173.159,192.168.2.21,UDP,,,
88,15.720704,103.195.103.66,192.168.2.21,UDP,,,
89,15.775208,185.180.13.82,192.168.2.21,UDP,,,
90,15.810999,50.7.252.138,192.168.2.21,UDP,,,
91,20.617002,192.168.2.21,103.195.103.66,UDP,,,
92,20.617031,192.168.2.21,103.195.103.66,UDP,,,
93,20.617036,192.168.2.21,103.195.103.66,UDP,,,
94,20.61704,192.168.2.21,185.180.13.82,UDP,,,
95,20.617045,192.168.2.21,50.7.252.138,UDP,,,
96,20.617049,192.168.2.21,50.7.252.138,UDP,,,
97,20.617053,192.168.2.21,50.7.252.138,UDP,,,
98,20.617057,192.168.2.21,195.181.173.159,UDP,,,
99,20.653156,195.181.173.159,192.168.2.21,UDP,,,
100,20.726616,103.195.103.66,192.168.2.21,UDP,,,
101,20.776692,185.180.13.82,192.168.2.21,UDP,,,
102,20.813861,50.7.252.138,192.168.2.21,UDP,,,
103,25.620548,192.168.2.21,103.195.103.66,UDP,,,
104,25.620581,192.168.2.21,185.180.13.82,UDP,,,
105,25.620587,192.168.2.21,185.180.13.82,UDP,,,
106,25.620591,192.168.2.21,185.180.13.82,UDP,,,
107,25.620595,192.168.2.21,50.7.252.138,UDP,,,
108,25.620599,192.168.2.21,195.181.173.159,UDP,,,
109,25.620603,192.168.2.21,195.181.173.159,UDP,,,
110,25.620607,192.168.2.21,195.181.173.159,UDP,,,
111,25.65307,195.181.173.159,192.168.2.21,UDP,,,
112,25.727607,103.195.103.66,192.168.2.21,UDP,,,
113,25.777809,185.180.13.82,192.168.2.21,UDP,,,
114,25.814459,50.7.252.138,192.168.2.21,UDP,,,
115,30.624948,192.168.2.21,103.195.103.66,UDP,,,
116,30.624979,192.168.2.21,103.195.103.66,UDP,,,
117,30.624984,192.168.2.21,103.195.103.66,UDP,,,
118,30.624989,192.168.2.21,185.180.13.82,UDP,,,
