26 42 21 5 1 9 17 9
47 29 16 17 52 56 15 11
2 54 40 23 3 8 52 11
4 49 45 33 39 36 20 10
1 34 17 9 18 16 13 10
36 3 18 56 24 16 10 9
39 6 8 26 5 20 1 9
42 50 37 44 16 15 48 11
29 1 33 15 49 42 54 11
27 32 46 28 39 52 6 10
17 9 21 4 46 26 12 10
36 51 4 28 31 55 42 9
34 45 35 30 50 22 51 9
1 52 49 6 45 25 56 8
13 5 7 57 25 3 37 8
48 38 45 3 53 15 27 7
1 42 8 18 16 12 4 7
9 38 21 30 23 35 53 6
54 36 2 8 51 52 10 6
36 9 39 6 8 57 37 5
17 21 11 49 37 24 45 5
43 44 55 52 26 46 6 8
48 51 42 20 54 52 21 8
4 28 21 10 27 14 23 7
43 38 28 36 2 30 33 7
13 49 38 39 53 56 59 6
7 28 14 8 10 33 26 6
52 59 51 47 13 38 18 5
38 22 39 26 16 47 48 5
35 9 46 45 57 27 32 8
30 18 11 55 44 33 48 8
37 23 54 32 57 49 47 7
54 28 27 41 26 18 45 7
25 37 56 50 39 44 13 6
49 50 36 46 6 59 38 6
3 56 52 33 50 45 44 5
10 32 50 28 35 20 24 5
16 59 1 6 34 49 35 4
18 38 59 27 47 11 14 4
53 18 47 13 19 57 44 3
28 12 27 29 9 44 8 3
38 41 26 51 32 49 46 2
28 31 46 12 50 9 10 2
21 45 36 11 56 49 2 1
37 52 58 12 18 56 53 1
4 24 1 27 13 47 2 4
46 25 10 41 34 55 36 4
55 54 1 38 19 35 45 3
35 28 8 47 51 17 52 3
52 9 13 39 49 53 56 2
47 20 16 33 29 49 45 2
52 37 23 42 5 36 14 1
